2017-06-27 22:02:50,002 - INFO     - [ID_IoT] Logging started
2017-06-27 22:02:50,003 - INFO     - [I2C COMMS] I2C connection created:<SMBus object at 0x76737ab8>
2017-06-27 22:02:50,003 - DEBUG    - [I2C COMMS] Class initiated
2017-06-27 22:02:50,004 - INFO     - [EEPROM] Initialisation of the EEPROM has been completed
2017-06-27 22:02:54,148 - DEBUG    - [ID_IoT] User has confirmed i-cog.Ls.1 is the correct chip
2017-06-27 22:02:54,149 - DEBUG    - [ID_IoT] Connection Data to be written:[1, 68, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 255, 255]
2017-06-27 22:02:54,149 - INFO     - [EEPROM] Set Device Connectivity with dataset:[1, 68, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 255, 255]
2017-06-27 22:02:54,150 - INFO     - [I2C COMMS] Write Data Bytes to address 80 starting at 16 with bytes [1, 68, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 255, 255]
2017-06-27 22:02:54,150 - DEBUG    - [I2C COMMS] Data:1 to be written to:16 for device:80
2017-06-27 22:02:54,151 - INFO     - [I2C COMMS] Write to Byte:16 of value:1 for i2c device:80
2017-06-27 22:02:54,157 - DEBUG    - [I2C COMMS] Data:68 to be written to:17 for device:80
2017-06-27 22:02:54,158 - INFO     - [I2C COMMS] Write to Byte:17 of value:68 for i2c device:80
2017-06-27 22:02:54,163 - DEBUG    - [I2C COMMS] Data:0 to be written to:18 for device:80
2017-06-27 22:02:54,164 - INFO     - [I2C COMMS] Write to Byte:18 of value:0 for i2c device:80
2017-06-27 22:02:54,170 - DEBUG    - [I2C COMMS] Data:0 to be written to:19 for device:80
2017-06-27 22:02:54,171 - INFO     - [I2C COMMS] Write to Byte:19 of value:0 for i2c device:80
2017-06-27 22:02:54,177 - DEBUG    - [I2C COMMS] Data:0 to be written to:20 for device:80
2017-06-27 22:02:54,178 - INFO     - [I2C COMMS] Write to Byte:20 of value:0 for i2c device:80
2017-06-27 22:02:54,183 - DEBUG    - [I2C COMMS] Data:2 to be written to:21 for device:80
2017-06-27 22:02:54,184 - INFO     - [I2C COMMS] Write to Byte:21 of value:2 for i2c device:80
2017-06-27 22:02:54,190 - DEBUG    - [I2C COMMS] Data:1 to be written to:22 for device:80
2017-06-27 22:02:54,191 - INFO     - [I2C COMMS] Write to Byte:22 of value:1 for i2c device:80
2017-06-27 22:02:54,197 - DEBUG    - [I2C COMMS] Data:0 to be written to:23 for device:80
2017-06-27 22:02:54,197 - INFO     - [I2C COMMS] Write to Byte:23 of value:0 for i2c device:80
2017-06-27 22:02:54,203 - DEBUG    - [I2C COMMS] Data:0 to be written to:24 for device:80
2017-06-27 22:02:54,204 - INFO     - [I2C COMMS] Write to Byte:24 of value:0 for i2c device:80
2017-06-27 22:02:54,209 - DEBUG    - [I2C COMMS] Data:0 to be written to:25 for device:80
2017-06-27 22:02:54,210 - INFO     - [I2C COMMS] Write to Byte:25 of value:0 for i2c device:80
2017-06-27 22:02:54,216 - DEBUG    - [I2C COMMS] Data:0 to be written to:26 for device:80
2017-06-27 22:02:54,217 - INFO     - [I2C COMMS] Write to Byte:26 of value:0 for i2c device:80
2017-06-27 22:02:54,222 - DEBUG    - [I2C COMMS] Data:0 to be written to:27 for device:80
2017-06-27 22:02:54,223 - INFO     - [I2C COMMS] Write to Byte:27 of value:0 for i2c device:80
2017-06-27 22:02:54,229 - DEBUG    - [I2C COMMS] Data:0 to be written to:28 for device:80
2017-06-27 22:02:54,230 - INFO     - [I2C COMMS] Write to Byte:28 of value:0 for i2c device:80
2017-06-27 22:02:54,235 - DEBUG    - [I2C COMMS] Data:0 to be written to:29 for device:80
2017-06-27 22:02:54,236 - INFO     - [I2C COMMS] Write to Byte:29 of value:0 for i2c device:80
2017-06-27 22:02:54,241 - DEBUG    - [I2C COMMS] Data:255 to be written to:30 for device:80
2017-06-27 22:02:54,242 - INFO     - [I2C COMMS] Write to Byte:30 of value:255 for i2c device:80
2017-06-27 22:02:54,248 - DEBUG    - [I2C COMMS] Data:255 to be written to:31 for device:80
2017-06-27 22:02:54,249 - INFO     - [I2C COMMS] Write to Byte:31 of value:255 for i2c device:80
2017-06-27 22:02:54,254 - DEBUG    - [EEPROM] Set Device Connectivity response status (1=True):True
2017-06-27 22:02:54,255 - DEBUG    - [ID_IoT] Write Map Version to be written:[0, 2]
2017-06-27 22:02:54,255 - INFO     - [I2C COMMS] Write Data Bytes to address 80 starting at 0 with bytes [0, 2]
2017-06-27 22:02:54,256 - DEBUG    - [I2C COMMS] Data:0 to be written to:0 for device:80
2017-06-27 22:02:54,256 - INFO     - [I2C COMMS] Write to Byte:0 of value:0 for i2c device:80
2017-06-27 22:02:54,262 - DEBUG    - [I2C COMMS] Data:2 to be written to:1 for device:80
2017-06-27 22:02:54,263 - INFO     - [I2C COMMS] Write to Byte:1 of value:2 for i2c device:80
2017-06-27 22:02:54,269 - DEBUG    - [EEPROM] Set Map Version response status (1=True):True
